,Master Key,GTVI Score,GTVI Rating,GTVI Percentile,Time,Time Percentile,Tot Hits,AVG Time To ID,AVG Time Of Eng
0,1-64 AR A11,700,Qualified,0.0,11.133055555555556,24.637681159420293,420.0,8.885526315789475,11.573134328358208
1,3-69 AR A11,755,Qualified,44.927536231884055,8.488888888888889,18.84057971014493,376.0,6.475806451612903,10.536000000000001
2,1-64 AR A12,815,Superior,63.76811594202898,1.668611111111111,5.797101449275362,0.0,9.190000000000001,7.477777777777778
3,3-69 AR A12,843,Superior,73.91304347826086,7.893888888888889,17.391304347826086,357.0,6.5,8.283720930232558
4,3-69 AR A13,700,Qualified,0.0,16.380277777777778,36.231884057971016,783.0,11.889189189189189,10.295698924731182
5,3-69 AR A14,803,Superior,55.072463768115945,9.405,21.73913043478261,666.0,11.989830508474576,8.57857142857143
6,1-64 AR A21,700,Qualified,0.0,2.636111111111111,7.246376811594203,60.0,13.59375,9.2125
7,3-69 AR A21,942,Distinguished,97.10144927536231,8.945833333333333,20.28985507246377,272.0,8.845283018867924,8.625
8,1-64 AR A22,717,Qualified,31.88405797101449,0.4661111111111111,0.0,16.0,17.2,16.75
9,3-69 AR A22,835,Superior,68.11594202898551,8.97638888888889,27.536231884057973,580.0,9.285483870967743,9.41607142857143
10,3-69 AR A23,700,Qualified,0.0,11.74,40.57971014492754,512.0,5.871134020618556,10.4421875
11,1-64 AR A24,700,Qualified,0.0,1.4166666666666667,2.898550724637681,45.0,10.714285714285714,4.749999999999999
12,3-69 AR A24,842,Superior,72.46376811594203,7.286944444444445,14.492753623188406,577.0,8.567796610169491,9.864705882352942
13,1-64 AR A31,700,Qualified,0.0,4.0472222222222225,8.695652173913043,163.0,6.64,11.521428571428572
14,3-69 AR A31,803,Superior,55.072463768115945,9.399444444444445,39.130434782608695,376.0,8.253571428571428,7.235555555555556
15,1-64 AR A32,782,Qualified,52.17391304347826,4.26,10.144927536231885,150.0,5.616129032258065,11.538461538461538
16,3-69 AR A32,700,Qualified,0.0,12.22388888888889,33.33333333333333,489.0,6.919402985074627,10.99074074074074
17,3-69 AR A33,700,Qualified,0.0,9.446388888888889,28.985507246376812,193.0,6.8375,10.114893617021275
18,1-64 AR A34,700,Qualified,0.0,1.5769444444444443,4.3478260869565215,0.0,11.055555555555555,10.444444444444445
19,3-69 AR A34,849,Superior,76.81159420289855,9.546944444444444,30.434782608695656,398.0,7.609090909090909,7.476
20,1-64 AR A65,735,Qualified,37.68115942028986,1.2355555555555557,1.4492753623188406,0.0,9.87142857142857,11.050000000000002
21,3-69 AR A65,807,Superior,60.86956521739131,7.243888888888889,13.043478260869565,191.0,12.058974358974359,8.055555555555555
22,3-69 AR A66,900,Distinguished,89.85507246376811,14.129722222222222,34.78260869565217,438.0,11.124096385542169,7.8323943661971835
23,3-69 AR B11,855,Superior,79.71014492753623,11.432777777777778,31.88405797101449,178.0,8.677777777777777,7.617647058823529
24,3-69 AR B12,749,Qualified,40.57971014492754,7.698055555555555,15.942028985507244,142.0,10.184999999999999,9.896875000000001
25,3-69 AR B13,834,Superior,66.66666666666666,6.918333333333334,11.594202898550725,217.0,7.023404255319149,9.621212121212121
26,3-69 AR B14,835,Superior,68.11594202898551,9.984444444444446,23.18840579710145,106.0,10.644736842105264,8.796774193548387
27,3-69 AR B21,770,Qualified,49.275362318840585,11.021388888888888,50.72463768115942,203.0,8.936206896551724,7.797727272727273
28,3-69 AR B22,750,Qualified,43.47826086956522,10.349722222222223,55.072463768115945,276.0,10.5,8.36595744680851
29,3-69 AR B23,712,Qualified,30.434782608695656,12.137222222222222,56.52173913043478,417.0,9.414666666666667,8.840350877192982
30,3-69 AR B24,862,Superior,82.6086956521739,8.576944444444445,59.42028985507246,251.0,9.003225806451614,9.668181818181818
31,3-69 AR B31,849,Superior,76.81159420289855,7.803055555555556,63.76811594202898,304.0,6.68076923076923,8.070212765957447
32,3-69 AR B32,858,Superior,81.15942028985508,6.256111111111111,66.66666666666666,3.0,7.435483870967742,11.519047619047619
33,3-69 AR B33,700,Qualified,0.0,8.55,69.56521739130434,185.0,9.584,10.085714285714285
34,3-69 AR B34,806,Superior,59.42028985507246,0.6830555555555555,72.46376811594203,0.0,7.85,9.649999999999999
35,3-69 AR B65,727,Qualified,34.78260869565217,18.003611111111113,86.95652173913044,690.0,10.533333333333335,9.72111111111111
36,3-69 AR B66,749,Qualified,40.57971014492754,18.43638888888889,95.65217391304348,506.0,11.2,9.065060240963856
37,2-7 IN C11,867,Superior,84.05797101449275,4.898055555555556,62.31884057971014,235.0,10.282758620689656,8.173076923076923
38,2-7 IN C12,812,Superior,62.31884057971014,1.9994444444444446,75.36231884057972,53.0,11.0,6.957142857142856
39,2-7 IN C13,848,Superior,75.36231884057972,5.556111111111111,53.62318840579711,128.0,9.373076923076923,8.708333333333334
40,2-7 IN C14,924,Distinguished,94.20289855072464,2.1358333333333333,75.36231884057972,116.0,8.425,8.23076923076923
41,2-7 IN C21,872,Superior,85.5072463768116,8.479166666666666,84.05797101449275,567.0,10.303571428571429,9.568888888888889
42,2-7 IN C22,939,Distinguished,95.65217391304348,8.584444444444445,85.5072463768116,660.0,7.998333333333333,9.335416666666667
43,2-7 IN C23,727,Qualified,34.78260869565217,5.295833333333333,78.26086956521739,472.0,10.04047619047619,10.007692307692308
44,2-7 IN C24,913,Distinguished,91.30434782608695,3.580277777777778,75.36231884057972,298.0,6.732142857142857,10.4
45,2-7 IN C31,804,Superior,57.971014492753625,9.203611111111112,85.5072463768116,376.0,8.045901639344262,9.81
46,2-7 IN C32,915,Distinguished,92.7536231884058,9.485833333333334,86.95652173913044,624.0,8.137313432835821,9.374509803921569
47,2-7 IN C33,700,Qualified,0.0,6.85361111111111,82.6086956521739,356.0,9.391304347826088,9.194594594594594
48,2-7 IN C34,758,Qualified,46.3768115942029,4.232777777777778,76.81159420289855,238.0,6.985714285714285,9.693548387096774
49,2-7 IN C65,839,Superior,71.01449275362319,6.3983333333333325,81.15942028985508,573.0,9.688888888888888,8.343589743589744
50,2-7 IN C66,826,Superior,65.21739130434783,6.005277777777778,79.71014492753623,379.0,10.627906976744185,7.65
